Protein-coding Genes,High Temp log2FC,High Temp FDR,,,,,,,
YER076C,0.096927272,0.647100449,,,,,,,
YJR154W,0.122853531,0.665706357,,,,,,,
YHL026C,0.108227505,0.627498614,,,,,,,
YML101C,0.117438375,0.649960419,,,,,,,
YOL154W,0.087943891,0.705010374,,,,,,,
YLR411W,-0.082149133,0.770736479,,,,,,,
YDR538W,0.072752369,0.783748813,,,,,,,
YDR524C,0.039411297,0.834436565,,,,,,,
YHR056C,0.047421679,0.835914753,,,,,,,
YDR033W,-0.059244809,0.889434652,,,,,,,
YBR199W,-0.019235919,0.940032403,,,,,,,
YEL070W,0.03328767,0.961835936,,,,,,,
YDR438W,0.011936344,0.969477064,,,,,,,
YDR303C,-0.00403935,0.992270575,,,,,,,
YNL270C,1.318297402,3.29992E-13,,,,,,,
YDR403W,0.785939727,7.70448E-05,,,,,,,
YLR249W,-1.087409993,0.00050552,,,,,,,
YIR038C,-0.900158241,0.001149831,,,,,,,
YPL248C,0.537127322,0.005581324,,,,,,,
YER001W,-0.416070969,0.010806743,,,,,,,
YJR077C,-0.94827649,0.005675499,,,,,,,
YBR195C,-0.471650531,0.007779913,,,,,,,
YDR425W,0.485948519,0.008239434,,,,,,,
YHR087W,-0.800319569,0.008710373,,,,,,,
YLR035C,0.486621936,0.009010091,,,,,,,
YJL042W,0.498323185,0.011513705,,,,,,,
YNL183C,-0.440705451,0.00798643,,,,,,,
YJR111C,-0.496991143,0.008959389,,,,,,,
YBL090W,-0.370652192,0.029050767,,,,,,,
YJR103W,0.475516325,0.017725539,,,,,,,
YPL024W,0.487388139,0.008245551,,,,,,,
YGR129W,0.578549708,0.025812272,,,,,,,
YGL020C,-0.433711028,0.032412576,,,,,,,
YMR319C,0.613801485,0.012856868,,,,,,,
YML079W,-0.38355541,0.043142797,,,,,,,
YDR507C,0.339248994,0.05272021,,,,,,,
YKL108W,0.385614418,0.0388653,,,,,,,
YMR159C,0.457779436,0.02590269,,,,,,,
YDR444W,0.362525388,0.045563882,,,,,,,
YIR019C,0.778626722,0.049649253,,,,,,,
YGL144C,-0.385017683,0.031868356,,,,,,,
YCL026C-B,-0.936554278,0.02749951,,,,,,,
YKL054C,0.527669813,0.083283242,,,,,,,
YDR194C,-0.29343941,0.079919152,,,,,,,
YKL052C,0.333502663,0.088576042,,,,,,,
YMR294W,0.327385496,0.115281711,,,,,,,
YIL102C-A,-0.542555159,0.127498924,,,,,,,
YDR286C,-0.680521978,0.105698175,,,,,,,
YDL037C,0.452158382,0.167499195,,,,,,,
YML081C-A,-0.323444787,0.188222154,,,,,,,
YAL060W,-0.349607484,0.1875372,,,,,,,
YJR051W,-0.302641547,0.179191511,,,,,,,
YBR163W,-0.209763314,0.23626237,,,,,,,
YGR072W,0.20425848,0.284242468,,,,,,,
YBR233W-A,0.338231708,0.330348554,,,,,,,
YML043C,-0.241135431,0.308048744,,,,,,,
YDL018C,-0.186391393,0.341661421,,,,,,,
YBL014C,0.143757614,0.389197673,,,,,,,
YJR156C,-0.288275581,0.371951695,,,,,,,
YEL047C,-0.177476748,0.41381188,,,,,,,
YNL332W,-0.347422229,0.354942974,,,,,,,
YNL070W,0.125381397,0.463975013,,,,,,,
YLR214W,-0.195452427,0.386641963,,,,,,,
YOR215C,0.222797243,0.490990388,,,,,,,
YML051W,0.12121895,0.468890405,,,,,,,
YMR168C,0.171267747,0.348057978,,,,,,,
YOR080W,0.126850378,0.501637286,,,,,,,
YHL040C,-0.30401603,0.467327733,,,,,,,
YER185W,-0.236341278,0.420026978,,,,,,,
YBR168W,0.11285732,0.585933013,,,,,,,
YOR273C,-0.102176617,0.643154513,,,,,,,
YGR213C,0.421116182,0.496735054,,,,,,,
YDL067C,-0.082795933,0.684353004,,,,,,,
YKR067W,-0.109033397,0.672150641,,,,,,,
YCL048W,0.291855117,0.496891999,,,,,,,
YMR087W,-0.072581747,0.743226283,,,,,,,
YGL209W,-0.132219892,0.728115901,,,,,,,
YDR171W,0.09518582,0.756123492,,,,,,,
YHR138C,0.067065968,0.830535789,,,,,,,
YDR076W,0.0518834,0.832633433,,,,,,,
YDR488C,-0.049432203,0.859668556,,,,,,,
YKR064W,0.027816945,0.906961795,,,,,,,
YNL246W,-0.021632491,0.912985297,,,,,,,
YJL110C,-0.026678705,0.917252666,,,,,,,
YDL101C,0.015208348,0.940094674,,,,,,,
YIL014W,0.011008658,0.9611406,,,,,,,
YLR250W,0.010148668,0.963215304,,,,,,,
YPL166W,-0.013055232,0.976653106,,,,,,,
YMR129W,-0.005994838,0.983095608,,,,,,,
YKL174C,-0.006856944,0.987194484,,,,,,,
YNL009W,-0.006623486,0.98560539,,,,,,,
YDL244W,0.02069601,0.971013276,,,,,,,
YFL058W,0.005308805,1,,,,,,,
YKR106W,1.04785609,0.000121723,,,,,,,
YDR423C,0.3651422,0.039391405,,,,,,,
YNL335W,-0.755540156,0.100864164,,,,,,,
YKL071W,0.299068144,0.281831793,,,,,,,
YBR295W,-0.163592316,0.398527967,,,,,,,
YLR313C,0.130595681,0.560073666,,,,,,,
YJL213W,0.1643958,0.640975218,,,,,,,
YBR278W,0.059632812,0.791790147,,,,,,,
YOR365C,-0.191489933,0.795873171,,,,,,,
YBR008C,-0.547101409,0.000289998,,,,,,,
YHR106W,0.440774469,0.004279322,,,,,,,
YKL038W,0.54886776,0.001420495,,,,,,,
YHR048W,1.164620672,0.000513545,,,,,,,
YJR089W,0.378758256,0.005716401,,,,,,,
YMR149W,-0.623420243,0.003504268,,,,,,,
YDR520C,0.38362171,0.009326629,,,,,,,
YGL176C,0.399394081,0.012236751,,,,,,,
YFL052W,0.581559983,0.007351716,,,,,,,
YCL061C,0.479733093,0.017701023,,,,,,,
YGL035C,0.394789988,0.037252809,,,,,,,
YMR069W,0.835873413,0.009295859,,,,,,,
YNL278W,0.433259841,0.036554393,,,,,,,
YHR156C,0.412837086,0.038553313,,,,,,,
YCL012C,-0.525114067,0.032582088,,,,,,,
YOR373W,0.439767879,0.052849634,,,,,,,
YFL048C,-0.48909702,0.058798552,,,,,,,
YLR132C,0.450846691,0.060665099,,,,,,,
YNL187W,0.542453786,0.056869413,,,,,,,
YML088W,0.31297464,0.086616043,,,,,,,
YDR367W,-0.586350873,0.082548348,,,,,,,
YDR428C,-0.553188959,0.096133897,,,,,,,
YGL164C,0.313352354,0.115004138,,,,,,,
YLR080W,0.423028179,0.04334471,,,,,,,
YBR145W,-0.609821229,0.0388653,,,,,,,
YJR112W-A,0.311614309,0.165569361,,,,,,,
YCL047C,0.365437538,0.182203225,,,,,,,
YCR030C,0.210386766,0.193761934,,,,,,,
YGL093W,0.206998327,0.190915172,,,,,,,
YNL193W,-0.312678953,0.118882743,,,,,,,
YKR082W,0.180033218,0.214994873,,,,,,,
YEL015W,0.27002887,0.218804921,,,,,,,
YKL163W,0.227379705,0.276911817,,,,,,,
YCL029C,0.177058022,0.26481891,,,,,,,
YBR033W,0.221692529,0.177938174,,,,,,,
YGL129C,-0.18101508,0.236201045,,,,,,,
YPR200C,0.458432648,0.230065436,,,,,,,
YPR196W,0.230824613,0.251692823,,,,,,,
YLR098C,0.184216311,0.306904457,,,,,,,
YDR124W,0.459779348,0.285849967,,,,,,,
YDR103W,0.12531948,0.416435487,,,,,,,
YGR288W,0.181455234,0.393215213,,,,,,,
YBR298C,-0.192925845,0.358142347,,,,,,,
YJL159W,0.188517434,0.404606202,,,,,,,
YGR289C,0.334077293,0.210075705,,,,,,,
YNL149C,-0.125049928,0.473613006,,,,,,,
YIL017C,0.114666225,0.494958418,,,,,,,
YJR160C,0.372130096,0.454029917,,,,,,,
YIR030C,0.294983965,0.486853106,,,,,,,
YOR144C,0.147693283,0.416850969,,,,,,,
YKL107W,0.1430969,0.404228208,,,,,,,
YMR117C,0.158221504,0.56049219,,,,,,,
YLR440C,-0.119259878,0.628054547,,,,,,,
YFL055W,-0.075832911,0.652004496,,,,,,,
YJR053W,0.098991422,0.693999909,,,,,,,
YBR137W,0.081592618,0.762593511,,,,,,,
YOR198C,-0.05188279,0.808712329,,,,,,,
YBL028C,-0.049622627,0.780287944,,,,,,,
YBR297W,0.027572093,0.899997412,,,,,,,
YEL007W,0.028385483,0.909139447,,,,,,,
YOR337W,-0.018910888,0.951859133,,,,,,,
YER046W,-0.018622082,0.953682919,,,,,,,
YBR022W,-0.019415778,0.962202565,,,,,,,
YLL046C,1.742864682,0.000247991,,,,,,,
YMR016C,0.766948983,0.011221007,,,,,,,
YLR446W,0.455594399,0.011158855,,,,,,,
YDR085C,0.444070309,0.00505548,,,,,,,
YNL208W,-0.427610035,0.027261518,,,,,,,
YEL030W,0.248132414,0.156440383,,,,,,,
YOL158C,0.080070221,0.794289113,,,,,,,
YDL218W,-0.074034587,0.693795897,,,,,,,
YGL038C,0.509987913,0.000885134,,,,,,,
YBR177C,-0.553731098,0.001281446,,,,,,,
YOL070C,0.421095045,0.011795535,,,,,,,
YLR368W,0.41843359,0.015175556,,,,,,,
YIL073C,0.431494035,0.014408029,,,,,,,
YMR111C,0.447300991,0.018784541,,,,,,,
YJL127C-B,0.283109083,0.041896087,,,,,,,
YJL171C,-0.739848467,0.027694858,,,,,,,
YIL024C,0.27364339,0.043623869,,,,,,,
YPR070W,0.33163715,0.050976682,,,,,,,
YMR044W,0.294716184,0.051309017,,,,,,,
YGL181W,0.398102163,0.087845411,,,,,,,
YHL034C,-0.26729887,0.129581589,,,,,,,
YDR352W,-0.430429211,0.108557516,,,,,,,
YML112W,0.382608104,0.122954788,,,,,,,
YBL103C,0.302074599,0.125151588,,,,,,,
YNL125C,0.244476751,0.161043621,,,,,,,
YOR205C,0.251137628,0.175033074,,,,,,,
YNR056C,-0.992495579,0.046746295,,,,,,,
YER030W,0.271915457,0.204013272,,,,,,,
YDL044C,0.163981732,0.297429471,,,,,,,
YER028C,0.37675289,0.154966687,,,,,,,
YLR024C,0.163072184,0.312499141,,,,,,,
YLR211C,0.267181817,0.298455171,,,,,,,
YBR119W,0.154578821,0.32271739,,,,,,,
YLR067C,0.131177363,0.44391788,,,,,,,
YDR384C,-0.224936069,0.448863615,,,,,,,
YLR165C,-0.126888398,0.524579106,,,,,,,
YDR160W,0.111862177,0.534345864,,,,,,,
YFL049W,0.08935888,0.594873513,,,,,,,
YIL088C,-0.104783814,0.578962979,,,,,,,
YER113C,-0.153936146,0.580302947,,,,,,,
YPL095C,0.134562114,0.617996053,,,,,,,
YEL001C,-0.105157038,0.649123028,,,,,,,
YML052W,-0.09548149,0.713288754,,,,,,,
YJL122W,-0.100601472,0.718578418,,,,,,,
YOL116W,0.065940502,0.772718813,,,,,,,
YLR335W,-0.041015886,0.842070079,,,,,,,
YKL011C,0.045225751,0.841764081,,,,,,,
YKR091W,0.062344472,0.826510605,,,,,,,
YOR083W,0.027576074,0.932746263,,,,,,,
YGL262W,-1.443817622,0.004345176,,,,,,,
YOL029C,-0.188186587,0.369335005,,,,,,,
YPL193W,0.50462275,0.001268249,,,,,,,
YJR056C,0.664650086,0.000887202,,,,,,,
YDR485C,0.481356921,0.011629263,,,,,,,
YER063W,-0.312210186,0.03566655,,,,,,,
YMR164C,0.606024885,0.017831343,,,,,,,
YCL002C,-0.472371706,0.050673092,,,,,,,
YPL064C,0.284123885,0.071578864,,,,,,,
YER161C,0.386811615,0.091891839,,,,,,,
YPR017C,-0.421484642,0.115384139,,,,,,,
YER128W,0.253557681,0.248713045,,,,,,,
YNL162W-A,-0.532694758,0.243173797,,,,,,,
YNL236W,0.197055657,0.274098386,,,,,,,
YDL002C,-0.304451006,0.293930359,,,,,,,
YKR084C,-0.193418786,0.303951258,,,,,,,
YGR212W,0.203591819,0.342472737,,,,,,,
YOR221C,-0.163165376,0.285104521,,,,,,,
YMR019W,0.161705504,0.36494688,,,,,,,
YOR138C,0.170799223,0.393215213,,,,,,,
YER180C-A,-0.475152345,0.37963766,,,,,,,
YER124C,-0.295025907,0.424124441,,,,,,,
YBR207W,-0.121735014,0.494715828,,,,,,,
YOR249C,0.061771564,0.727063261,,,,,,,
YOR352W,0.064552653,0.715113665,,,,,,,
YDR118W,0.078512671,0.709956495,,,,,,,
YPL113C,0.074985166,0.788405543,,,,,,,
YAR002W,-0.034364001,0.85809619,,,,,,,
YJL178C,0.036757148,0.855386236,,,,,,,
YMR191W,-0.017639409,0.956489335,,,,,,,
YKL093W,0.600885655,0.000293373,,,,,,,
YGL170C,2.01803284,1.57211E-07,,,,,,,
YBR076W,1.921507481,6.89051E-12,,,,,,,
YKR015C,1.163546405,2.84542E-06,,,,,,,
YLR312C,0.756235078,0.000625154,,,,,,,
YPL272C,-2.119959218,1.40422E-08,,,,,,,
YOR350C,0.414069196,0.002904693,,,,,,,
YFL020C,-1.363249917,0.000114615,,,,,,,
YFR036W,0.926680477,0.001070087,,,,,,,
YHR159W,0.508893472,0.004734262,,,,,,,
YML117W,0.519745384,0.005898108,,,,,,,
YLR267W,0.834946323,0.001860865,,,,,,,
YGR236C,0.934089196,0.001092441,,,,,,,
YMR172W,0.69734017,0.004201988,,,,,,,
YPL033C,1.13450008,0.002842575,,,,,,,
YER044C-A,1.080475192,0.003075376,,,,,,,
YLR392C,0.31832196,0.025249868,,,,,,,
YIL122W,0.527972132,0.015254458,,,,,,,
YNL160W,-0.693282474,0.000839547,,,,,,,
YHR139C,-1.512319763,0.001682746,,,,,,,
YOR097C,0.826681082,0.018671405,,,,,,,
YPR164W,0.303096842,0.024023786,,,,,,,
YLR263W,0.386504347,0.017993711,,,,,,,
YNR069C,-0.431866015,0.011492438,,,,,,,
YMR219W,0.513192408,0.029728146,,,,,,,
YIL011W,-1.318021558,0.001174591,,,,,,,
YOR179C,-0.401082388,0.056869413,,,,,,,
YJL162C,0.370658201,0.055984995,,,,,,,
YOL025W,0.290542719,0.037255502,,,,,,,
YGL222C,0.651842223,0.050129428,,,,,,,
YDR422C,0.231896887,0.098583017,,,,,,,
YAL037W,0.530253675,0.037613168,,,,,,,
YLL025W,-1.002457555,0.020667058,,,,,,,
YPL077C,0.416359246,0.100263835,,,,,,,
YAL063C,-1.005303554,0.038719474,,,,,,,
YCR024C-A,-0.444847107,0.081250001,,,,,,,
YOL104C,0.91489088,0.043276808,,,,,,,
YKL061W,0.242958488,0.111408417,,,,,,,
YPL253C,0.259858767,0.128338833,,,,,,,
YLR457C,0.30035384,0.096421689,,,,,,,
YOR098C,0.38389597,0.14237709,,,,,,,
YER106W,0.6660962,0.03637721,,,,,,,
YCL028W,0.321665576,0.160114303,,,,,,,
YOR213C,0.294688103,0.0903363,,,,,,,
YLR031W,0.359029257,0.105775102,,,,,,,
YPL144W,-0.31264241,0.150834861,,,,,,,
YGR180C,-0.432552643,0.082878575,,,,,,,
YPL049C,0.367546299,0.178317023,,,,,,,
YGL090W,0.225123294,0.188524559,,,,,,,
YNR034W-A,-0.601835402,0.060713868,,,,,,,
YMR147W,0.167868438,0.256389535,,,,,,,
YPR134W,-0.197280412,0.256892985,,,,,,,
YEL025C,-0.174756022,0.237126953,,,,,,,
YBR071W,0.254802843,0.272769616,,,,,,,
YGL117W,-0.565446613,0.100730448,,,,,,,
YOR189W,-0.173182392,0.295028368,,,,,,,
YJR011C,-0.507096273,0.25230825,,,,,,,
YDR261C,-0.279567214,0.244240558,,,,,,,
YBR036C,-0.168597427,0.351315754,,,,,,,
YOR011W,-0.181315048,0.292461527,,,,,,,
YGL121C,0.214931387,0.316758523,,,,,,,
YJL043W,0.531966819,0.253623716,,,,,,,
YKR022C,-0.158115069,0.411576321,,,,,,,
YLR049C,-0.190996438,0.393215213,,,,,,,
YDR022C,0.170197167,0.34666162,,,,,,,
YPR158W,0.13235462,0.431199024,,,,,,,
YKR098C,0.158279541,0.392488943,,,,,,,
YNR004W,-0.299695528,0.401993395,,,,,,,
YLR037C,-0.283439459,0.458313469,,,,,,,
YJL070C,0.150008497,0.500431521,,,,,,,
YLR190W,-0.108677215,0.526480041,,,,,,,
YBR259W,0.13921203,0.496402855,,,,,,,
YPL018W,0.212757384,0.504248561,,,,,,,
YDL227C,-0.155954551,0.368512501,,,,,,,
YLR315W,0.166291383,0.493453729,,,,,,,
YJL209W,0.103295137,0.574514705,,,,,,,
YAR050W,-0.251845318,0.533366148,,,,,,,
YOL101C,0.149615729,0.408804989,,,,,,,
YLR224W,0.082028605,0.637079062,,,,,,,
YHR061C,-0.122618693,0.588913873,,,,,,,
YML058W,0.092874728,0.636870436,,,,,,,
YCL058W-A,0.116891894,0.643829955,,,,,,,
YBR067C,0.132504859,0.548208378,,,,,,,
YOL007C,0.071091283,0.685656646,,,,,,,
YMR025W,0.112180643,0.660815684,,,,,,,
YLL049W,-0.202396984,0.648314488,,,,,,,
YOL047C,0.249577911,0.592477532,,,,,,,
YJR039W,0.067815615,0.727546817,,,,,,,
YOL091W,0.111920664,0.728627582,,,,,,,
YER176W,-0.060063833,0.754382977,,,,,,,
YHL038C,-0.048724216,0.804968498,,,,,,,
YIL013C,-0.061044188,0.807699013,,,,,,,
YJL185C,0.044618557,0.819169296,,,,,,,
YOR152C,0.070097137,0.826510605,,,,,,,
YBR107C,0.046541868,0.863238003,,,,,,,
YLR254C,0.036024374,0.879019795,,,,,,,
YER104W,-0.032162602,0.903144812,,,,,,,
YPR106W,-0.044460612,0.886262407,,,,,,,
YPL192C,0.151185834,0.885168405,,,,,,,
YKR041W,0.041474836,0.897644235,,,,,,,
YHR211W,0.01737893,0.957621913,,,,,,,
YDR374W-A,0.020075855,0.959699272,,,,,,,
YDR383C,-0.016443016,0.963215304,,,,,,,
YFR039C,0.009236671,0.96810702,,,,,,,
YJR094C,2.122715277,5.71295E-22,,,,,,,
YCL025C,1.306083323,1.99666E-18,,,,,,,
YDL021W,0.734660511,9.95814E-09,,,,,,,
YOR178C,1.438587634,5.27917E-10,,,,,,,
YIL071C,0.702198676,1.93733E-06,,,,,,,
YHR015W,1.506489115,2.24581E-07,,,,,,,
YJL149W,0.562187088,0.000120743,,,,,,,
YGL071W,0.761826287,4.45941E-05,,,,,,,
YGR023W,0.909968868,8.87775E-05,,,,,,,
YOL036W,0.510768003,0.000460715,,,,,,,
YJL019W,0.498823312,0.000576173,,,,,,,
YPL274W,-1.199501045,0.000108321,,,,,,,
YDR508C,0.936515082,8.37597E-15,,,,,,,
YGL134W,0.484875102,0.000461105,,,,,,,
YIL016W,-0.992731077,0.000366613,,,,,,,
YER167W,0.626146674,0.000147708,,,,,,,
YJL103C,0.522707115,0.000975271,,,,,,,
YLR110C,-0.663303974,0.000351775,,,,,,,
YNL133C,0.812858926,0.000379604,,,,,,,
YPL055C,0.908602822,0.000327445,,,,,,,
YNL295W,0.53094524,0.000475384,,,,,,,
YJL089W,0.591466049,0.000817556,,,,,,,
YER033C,0.951782173,0.000229612,,,,,,,
YPL256C,0.637096502,0.000166929,,,,,,,
YOR066W,0.902490115,0.000351456,,,,,,,
YGL032C,1.031100115,0.000217775,,,,,,,
YBR108W,0.818673509,0.000171877,,,,,,,
YER132C,0.582942427,0.00095326,,,,,,,
YGR222W,0.850403583,0.000887202,,,,,,,
YJL148W,-0.693352825,0.000980294,,,,,,,
YBR131W,0.779112455,0.000842205,,,,,,,
YGR102C,0.608114028,0.000827765,,,,,,,
YMR101C,1.207299316,6.83406E-05,,,,,,,
YOR372C,0.928465755,0.001578165,,,,,,,
YKL106W,-0.493370229,0.000412362,,,,,,,
YPL075W,0.491113393,0.002441025,,,,,,,
YBR194W,0.593564134,0.000388469,,,,,,,
YNL199C,0.594837294,0.002441025,,,,,,,
YJL173C,-0.511600126,0.001773345,,,,,,,
YIL161W,0.862437128,0.002079232,,,,,,,
YLL005C,2.021704836,0.000305927,,,,,,,
YDR461W,0.673202616,0.000302623,,,,,,,
YML006C,0.568352892,0.002481107,,,,,,,
YIL009C-A,0.661780788,0.00145263,,,,,,,
YFR023W,1.440194963,1.02995E-08,,,,,,,
YMR160W,0.501902899,0.001695769,,,,,,,
YHR103W,0.37587952,0.006555827,,,,,,,
YDR399W,-0.722782945,0.003347202,,,,,,,
YJL051W,0.60222283,0.000435755,,,,,,,
YLR225C,-0.427530439,0.002020143,,,,,,,
YDR475C,0.625781039,0.002441025,,,,,,,
YEL005C,0.427089437,0.005468798,,,,,,,
YMR291W,0.620612676,0.000373538,,,,,,,
YDR065W,0.605195609,0.00305896,,,,,,,
YLR364W,0.561354712,0.000839547,,,,,,,
YPR084W,0.518595509,0.005716401,,,,,,,
YLR052W,0.861809038,0.003169828,,,,,,,
YLR413W,-0.624008828,0.002386156,,,,,,,
YGL081W,0.662656306,0.00059745,,,,,,,
YNL309W,1.061365424,0.004130114,,,,,,,
YGR140W,0.456003777,0.007319697,,,,,,,
YGR156W,0.557757756,0.004279322,,,,,,,
YCR076C,0.48660719,0.006381897,,,,,,,
YLR094C,0.555024742,0.004059422,,,,,,,
YHR035W,0.800484063,0.004279322,,,,,,,
YDL059C,0.57772234,0.002441025,,,,,,,
YDL169C,0.845741974,0.004823172,,,,,,,
YNL042W,1.037158052,0.003038113,,,,,,,
YMR107W,0.76186928,0.002378894,,,,,,,
YER111C,0.50061798,0.005581324,,,,,,,
YIL055C,0.669307714,0.003108361,,,,,,,
YPL201C,0.509520048,0.012796207,,,,,,,
YNL214W,0.677496174,0.008023044,,,,,,,
YGL128C,0.837011353,0.006350376,,,,,,,
YDR466W,0.503987026,0.008925614,,,,,,,
YML017W,0.551041206,0.00825648,,,,,,,
YOL053W,0.725645068,0.008584163,,,,,,,
YBR058C-A,-0.536022286,0.00911171,,,,,,,
YGL036W,0.634821724,0.008235425,,,,,,,
YIL156W,0.403270435,0.007870366,,,,,,,
YOR371C,0.406302649,0.012150702,,,,,,,
YGL162W,0.606745845,0.006692007,,,,,,,
YBR091C,-0.566405464,0.003755594,,,,,,,
YKL168C,0.388011556,0.011304149,,,,,,,
YBR128C,0.5285299,0.006290911,,,,,,,
YBR258C,1.084233146,0.008270579,,,,,,,
YMR206W,0.608474794,0.003392035,,,,,,,
YDR072C,-0.641962175,0.005717888,,,,,,,
YJR021C,0.528296228,0.008078772,,,,,,,
YBR250W,0.702058935,0.002936506,,,,,,,
YMR124W,0.431821675,0.013308311,,,,,,,
YER137C,0.872675929,0.00329468,,,,,,,
YGR106C,-0.720855522,0.008660948,,,,,,,
YGR177C,-1.369757558,0.000237925,,,,,,,
YLR040C,1.337826868,0.002610799,,,,,,,
YGL197W,0.461923802,0.01191334,,,,,,,
YKL042W,0.330812578,0.020775921,,,,,,,
YBR047W,-0.638093081,0.006450744,,,,,,,
YKL214C,-0.458982334,0.01220742,,,,,,,
YGR079W,0.738120883,0.008730405,,,,,,,
YBR152W,0.562581244,0.010791675,,,,,,,
YKL065C,-0.71010168,0.015200793,,,,,,,
YBR068C,-0.654431935,0.004951284,,,,,,,
YKL187C,0.680062774,0.006047352,,,,,,,
YDR381C-A,0.536265631,0.011141329,,,,,,,
YNL078W,0.543352873,0.017198898,,,,,,,
YHL019C,0.53089872,0.014399131,,,,,,,
YMR122W-A,-0.795108937,0.018193462,,,,,,,
YER158C,0.429844336,0.01157141,,,,,,,
YLR135W,0.44468703,0.013374443,,,,,,,
YDR532C,0.664999962,0.017906387,,,,,,,
YGR169C-A,1.028803491,0.017661181,,,,,,,
YMR181C,0.443179643,0.020898507,,,,,,,
YGL249W,1.348097696,0.007439467,,,,,,,
YLR437C,0.690924193,0.014443681,,,,,,,
YML119W,0.420099356,0.029265133,,,,,,,
YGL061C,0.475083944,0.021211542,,,,,,,
YDR163W,0.976773472,0.020646357,,,,,,,
YER077C,0.611654,0.023485663,,,,,,,
YLR054C,0.738756891,0.005468798,,,,,,,
YJL184W,0.604802531,0.024948701,,,,,,,
YOR354C,-0.471324402,0.02816692,,,,,,,
YOR279C,0.399918032,0.024402706,,,,,,,
YIL136W,0.778711067,0.016173129,,,,,,,
YGL185C,0.413533307,0.024784424,,,,,,,
YGL228W,0.351270169,0.039886378,,,,,,,
YNL076W,0.367037636,0.032740897,,,,,,,
YPR133W-A,-0.451457016,0.033339781,,,,,,,
YDR309C,0.580852231,0.019574704,,,,,,,
YER024W,0.404645091,0.037867707,,,,,,,
YDR123C,0.477946259,0.024141631,,,,,,,
YIL135C,0.523911697,0.032412576,,,,,,,
YPL071C,0.469820877,0.032582088,,,,,,,
YJR135C,0.498763753,0.020058993,,,,,,,
YEL017C-A,-0.641748445,0.021856619,,,,,,,
YDR197W,0.37570185,0.030464164,,,,,,,
YLR079W,0.538674648,0.033561959,,,,,,,
YOR195W,0.45483724,0.031169281,,,,,,,
YIR025W,0.424199542,0.033580511,,,,,,,
YER032W,0.299776625,0.043238257,,,,,,,
YDR310C,0.328064897,0.04517311,,,,,,,
YLR288C,0.624845532,0.030280029,,,,,,,
YPL194W,0.433444104,0.040209231,,,,,,,
YGL226C-A,-0.599611862,0.025048812,,,,,,,
YOR276W,-0.299087126,0.039871752,,,,,,,
YLR095C,0.586914645,0.03566655,,,,,,,
YOR030W,0.380846825,0.04173841,,,,,,,
YLR219W,0.515995866,0.038867819,,,,,,,
YDR222W,-0.668185689,0.001746579,,,,,,,
YNR045W,0.412181523,0.032781261,,,,,,,
YDR499W,0.450098173,0.036251778,,,,,,,
YPL229W,0.435625268,0.034546468,,,,,,,
YOL082W,-0.449005029,0.047144717,,,,,,,
YLR332W,0.445170968,0.030869747,,,,,,,
YML113W,0.781213862,0.038867819,,,,,,,
YDL220C,0.565339192,0.011259575,,,,,,,
YIL139C,0.32746729,0.050779572,,,,,,,
YIR010W,0.657724017,0.037020834,,,,,,,
YLR307C-A,-0.600955907,0.02611872,,,,,,,
YOR060C,0.623770847,0.031805283,,,,,,,
YJL170C,0.756941193,0.013238036,,,,,,,
YNL100W,-0.297359524,0.073252145,,,,,,,
YGL025C,0.684660569,0.042672974,,,,,,,
YNR024W,0.387685511,0.037769784,,,,,,,
YJL073W,0.361716218,0.050374402,,,,,,,
YGR117C,-0.423418021,0.034984057,,,,,,,
YPL039W,0.469214205,0.039487231,,,,,,,
YPL186C,0.510416589,0.029728146,,,,,,,
YBR085C-A,0.730854588,0.037447003,,,,,,,
YOR324C,0.244414053,0.079980691,,,,,,,
YBR255C-A,-0.392106373,0.042382711,,,,,,,
YBR165W,0.313772664,0.064290045,,,,,,,
YBR149W,-0.430092972,0.046566404,,,,,,,
YAL055W,0.543574204,0.042317708,,,,,,,
YDR014W,0.43262783,0.02749951,,,,,,,
YOL028C,0.472894363,0.041528719,,,,,,,
YDR056C,-0.454639654,0.044636169,,,,,,,
YJL016W,-0.472873606,0.02902328,,,,,,,
YOR302W,1.094893814,0.043184048,,,,,,,
YOL042W,-0.526294315,0.048726356,,,,,,,
YLR431C,0.258286038,0.081337098,,,,,,,
YNL164C,0.312870486,0.058057876,,,,,,,
YGL113W,0.371070959,0.043184048,,,,,,,
YNL103W,0.442205939,0.063423675,,,,,,,
YHR081W,0.681250935,0.05450516,,,,,,,
YKR005C,0.304431527,0.055478409,,,,,,,
YNL258C,0.237758719,0.090160567,,,,,,,
YIL127C,0.680435018,0.045373322,,,,,,,
YOR062C,0.450071533,0.032582088,,,,,,,
YGR146C,0.492530653,0.050481317,,,,,,,
YGR237C,0.34212507,0.061899941,,,,,,,
YOL020W,0.528659459,0.001609044,,,,,,,
YGL108C,0.447195236,0.067246254,,,,,,,
YDR395W,0.250215906,0.078436362,,,,,,,
YLR301W,-0.739541332,0.058085709,,,,,,,
YLL061W,-0.412156443,0.086241463,,,,,,,
YMR275C,0.287997171,0.062976247,,,,,,,
YLR376C,0.655625019,0.064165132,,,,,,,
YPR009W,-0.469848263,0.071248962,,,,,,,
YER034W,0.421250007,0.066078544,,,,,,,
YCR020C-A,-0.313214349,0.092183738,,,,,,,
YNL159C,0.241791681,0.092700767,,,,,,,
